Title,Album
Long Live ,Speak Now 
Mean ,Speak Now 
Mine ,Speak Now 
Never Grow Up ,Speak Now 
Ours ,Speak Now 
Sparks Fly ,Speak Now 
Speak Now ,Speak Now 
Superman ,Speak Now 
The Story of Us ,Speak Now 
Timeless  [From The Vault],Speak Now 
When Emma Falls in Love  [From The Vault],Speak Now 
champagne problems,evermore
closure,evermore
coney island,evermore
cowboy like me,evermore
dorothea,evermore
evermore,evermore
gold rush,evermore
happiness,evermore
ivy,evermore
long story short,evermore
marjorie,evermore
"no body, no crime",evermore
tis the damn season,evermore
tolerate it,evermore
willow,evermore
the lakes,folklore
Only The Young,Miss Americana
